Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 6 - N4] General Education,16.10.2019,08:10,16.10.2019,09:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] General Education,16.10.2019,09:05,16.10.2019,09:55,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] Lunch,16.10.2019,11:10,16.10.2019,12:00,BBA 6 - N4
[BBA 6 - N4] Leadership and Human Resource Management,16.10.2019,12:05,16.10.2019,12:55,E. Wong BBA 6 - N4,[NW2.2]
[BBA 6 - N4] Modelling for Management,16.10.2019,13:00,16.10.2019,14:45,BBA 6 - N3 BBA 6 - N4 M. Leaney,[LT2]
[BBA 6 - N4] General Education,17.10.2019,08:10,17.10.2019,09:00,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] General Education,17.10.2019,09:05,17.10.2019,09:55,R. Puhr BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,EW 3
[BBA 6 - N4] Data Analytics for Business Optimisation,17.10.2019,10:15,17.10.2019,11:05,E. Mottier BBA 6 - N4,[410]
[BBA 6 - N4] General Education,17.10.2019,11:10,17.10.2019,12:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 3.2 NW 1.2
[BBA 6 - N4] Lunch,17.10.2019,12:05,17.10.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Modellng for Management,17.10.2019,13:55,17.10.2019,14:45,M. Leaney BBA 6 - N4,[407]
[BBA 6 - N4] International Strategic Marketing,17.10.2019,14:50,17.10.2019,15:40,J. Di Donna BBA 6 - N4,[207]
[BBA 6 - N4] International Strategic Marketing,17.10.2019,16:00,17.10.2019,17:45,J. Di Donna BBA 6 - N4,[207]
[BBA 6 - N4] Data Analytics for Business Optimisation,18.10.2019,09:05,18.10.2019,11:05,E. Mottier BBA 6 - N4,[410]
[BBA 6 - N4] Modellng for Management,18.10.2019,11:10,18.10.2019,12:00,M. Leaney BBA 6 - N2 BBA 6 - N4,[407]
[BBA 6 - N4] Hospitality Financial Management,18.10.2019,12:05,18.10.2019,12:55,S. McMath BBA 6 - N4,[303]
[BBA 6 - N4] Lunch,18.10.2019,13:00,18.10.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Leadership and Human Resource Management,18.10.2019,13:55,18.10.2019,15:40,W. Gerstkamp BBA 6 - N4,[NW3.1]
[BBA 6 - N4] Revenue and Pricing Management,18.10.2019,16:00,18.10.2019,16:50,R. Campione BBA 6 - N4,[305]
[BBA 6 - N4] Revenue and Pricing Management,21.10.2019,13:55,21.10.2019,15:40,R. Campione BBA 6 - N4,[305]
[BBA 6 - N4] Hospitality Financial Management,21.10.2019,16:00,21.10.2019,17:45,S. McMath BBA 6 - N4,[309]
[BBA 6 - N4] General Education,22.10.2019,08:10,22.10.2019,09:00,R. Germanier M. Ninan A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 NW 2.1
[BBA 6 - N4] General Education,22.10.2019,09:05,22.10.2019,09:55,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[BBA 6 - N4] General Education,22.10.2019,10:15,22.10.2019,11:05,R. Germanier M. Ninan R. Puhr A. Schirinzi BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 GB 5,NW 1.1 NW 1.2 EW 3 NW 2.1
[BBA 6 - N4] Lunch,22.10.2019,11:10,22.10.2019,13:50,BBA 6 - N4
[BBA 6 - N4] Data Analytics for Business Optimisation,22.10.2019,13:55,22.10.2019,15:40,E. Mottier BBA 6 - N4,[407]
[BBA 6 - N4] BBA 7 Specialisation Choices,22.10.2019,16:00,22.10.2019,17:45,BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4 W. Gerstkamp,LT 1
[BBA 6 - N4] General Education,23.10.2019,08:10,23.10.2019,09:00,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] General Education,23.10.2019,09:05,23.10.2019,09:55,R. Germanier M. Ninan BBA 6 - N1 BBA 6 - N2 BBA 6 - N3 BBA 6 - N4,NW 2.2 NW 1.1
[BBA 6 - N4] Lunch,23.10.2019,11:10,23.10.2019,12:00,BBA 6 - N4
[BBA 6 - N4] Leadership and Human Resource Management,23.10.2019,12:05,23.10.2019,12:55,E. Wong BBA 6 - N4,[NW3.1]
[BBA 6 - N4] International Strategic Marketing,23.10.2019,13:00,23.10.2019,14:45,J. Di Donna BBA 6 - N4,[NW3.1]
[BBA 6 - N4] Modellng for Management,23.10.2019,14:50,23.10.2019,16:50,M. Leaney BBA 6 - N4,[407]
