Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[B. Hassan] Hospitality Electives (5208 & 5210),19.05.2020,09:05,19.05.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[B. Hassan] Events Management,19.05.2020,13:55,19.05.2020,15:40,B. Hassan PGD,[NW2.1]
[B. Hassan] Meeting,19.05.2020,16:00,19.05.2020,17:45
[B. Hassan] Consultancy Project,21.05.2020,09:05,21.05.2020,11:05,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Consultancy Project,21.05.2020,11:10,21.05.2020,12:55,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Leading Multi National Teams,21.05.2020,14:50,21.05.2020,17:45,B. Hassan GB 5,[EW2]
[B. Hassan] Hospitality Electives (5208 & 5210),25.05.2020,09:05,25.05.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[B. Hassan] Hospitality Electives (5209),25.05.2020,14:50,25.05.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[B. Hassan] Hospitality Electives (5208 & 5210),26.05.2020,09:05,26.05.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[B. Hassan] Events Management,26.05.2020,13:55,26.05.2020,15:40,B. Hassan PGD,[NW2.1]
[B. Hassan] Meeting,26.05.2020,16:00,26.05.2020,17:45
[B. Hassan] Consultancy Project,28.05.2020,09:05,28.05.2020,11:05,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Consultancy Project,28.05.2020,11:10,28.05.2020,12:55,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Leading Multi National Teams,28.05.2020,14:50,28.05.2020,17:45,B. Hassan GB 5,[EW2]
[B. Hassan] Hospitality Electives (5208 & 5210),01.06.2020,09:05,01.06.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[B. Hassan] Hospitality Electives (5209),01.06.2020,14:50,01.06.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[B. Hassan] Hospitality Electives (5208 & 5210),02.06.2020,09:05,02.06.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[B. Hassan] Meeting,02.06.2020,16:00,02.06.2020,17:45
[B. Hassan] Consultancy Project,04.06.2020,09:05,04.06.2020,11:05,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Consultancy Project,04.06.2020,11:10,04.06.2020,12:55,B. Hassan MBA 2 a MBA 2 b MBA 2 b (revenue),[EW3]
[B. Hassan] Leading Multi National Teams,04.06.2020,14:50,04.06.2020,17:45,B. Hassan GB 5,[EW2]
[B. Hassan] Meeting,09.06.2020,16:00,09.06.2020,17:45
[B. Hassan] Meeting,16.06.2020,16:00,16.06.2020,17:45
[B. Hassan] Meeting,23.06.2020,16:00,23.06.2020,17:45
[B. Hassan] Meeting,30.06.2020,16:00,30.06.2020,17:45
[B. Hassan] Meeting,07.07.2020,16:00,07.07.2020,17:45
