Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 4 - M6] Lunch,17.02.2020,12:05,17.02.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Foreign Languages - Group 2,22.05.2020,13:00,22.05.2020,14:45,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 205 EW 1 304
[BBA 4 - M6] Lunch,25.05.2020,11:10,25.05.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Hospitality Managerial Accounting,25.05.2020,13:00,25.05.2020,14:45,BBA 4 - M6 I. Francis,[NW3.2]
[BBA 4 - M6] Economics,26.05.2020,08:10,26.05.2020,09:55,A. Rosen BBA 4 - M6,[309]
[BBA 4 - M6] Foreign Languages - Group 3,26.05.2020,10:15,26.05.2020,11:05,B. Crettol S. Dunn E. Ebiner N. McMath J. Meehan BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,205 EW 1 304 307 208
[BBA 4 - M6] Lunch,26.05.2020,11:10,26.05.2020,12:00,BBA 4 - M6
[BBA 4 - M6] Foreign Languages - Group 1,26.05.2020,12:05,26.05.2020,13:50,A. Andrioli E. Crettenand S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 EW 1 304 409
[BBA 4 - M6] Foreign Languages - Group 4,26.05.2020,13:55,26.05.2020,15:40,A. Andrioli B. Crettol S. Dunn D. Fuchs N. McMath BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 205 EW 1 409 307
[BBA 4 - M6] Foreign Languages - Group 2,27.05.2020,08:10,27.05.2020,09:55,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 205 EW 1 304
[BBA 4 - M6] Rooms Inventory and Control Management,27.05.2020,10:15,27.05.2020,12:00,J. Van der Blom BBA 4 - M6,[NW2.2]
[BBA 4 - M6] Lunch,27.05.2020,12:05,27.05.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Economics,27.05.2020,13:00,27.05.2020,13:50,F. Avila BBA 4 - M6,[212]
[BBA 4 - M6] Foreign Languages - Group 4,28.05.2020,10:15,28.05.2020,11:05,A. Andrioli B. Crettol S. Dunn D. Fuchs N. McMath BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 205 EW 1 409 307
[BBA 4 - M6] Foreign Languages - Group 3,28.05.2020,11:10,28.05.2020,12:55,B. Crettol S. Dunn E. Ebiner N. McMath J. Meehan BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,205 EW 1 304 307 208
[BBA 4 - M6] Lunch,28.05.2020,13:00,28.05.2020,13:50,BBA 4 - M6
[BBA 4 - M6] Leading Teams to Success,28.05.2020,16:00,28.05.2020,17:45,A. Gamberoni BBA 4 - M6,[206]
[BBA 4 - M6] Hospitality Facilities Management,29.05.2020,08:10,29.05.2020,09:55,M. Aston BBA 4 - M6,[207]
[BBA 4 - M6] Foreign Languages - Group 1,29.05.2020,10:15,29.05.2020,12:00,A. Andrioli E. Crettenand S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 EW 1 304 409
[BBA 4 - M6] Lunch,29.05.2020,12:05,29.05.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Foreign Languages - Group 2,29.05.2020,13:00,29.05.2020,14:45,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 205 EW 1 304
[BBA 4 - M6] Food and Beverage Management and Cost Control,01.06.2020,08:10,01.06.2020,09:00,J. Van der Blom BBA 4 - M6,[207]
[BBA 4 - M6] Lunch,01.06.2020,11:10,01.06.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Hospitality Managerial Accounting,01.06.2020,13:00,01.06.2020,14:45,BBA 4 - M6 I. Francis,[NW3.2]
[BBA 4 - M6] Economics,02.06.2020,08:10,02.06.2020,09:55,A. Rosen BBA 4 - M6,[309]
[BBA 4 - M6] Foreign Languages - Group 3,02.06.2020,10:15,02.06.2020,11:05,B. Crettol S. Dunn E. Ebiner N. McMath J. Meehan BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,205 EW 1 304 307 208
[BBA 4 - M6] Lunch,02.06.2020,11:10,02.06.2020,12:00,BBA 4 - M6
[BBA 4 - M6] Foreign Languages - Group 1,02.06.2020,12:05,02.06.2020,13:50,A. Andrioli E. Crettenand S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 EW 1 304 409
[BBA 4 - M6] Foreign Languages - Group 4,02.06.2020,13:55,02.06.2020,15:40,A. Andrioli B. Crettol S. Dunn D. Fuchs N. McMath BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 205 EW 1 409 307
[BBA 4 - M6] Foreign Languages - Group 2,03.06.2020,08:10,03.06.2020,09:55,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 205 EW 1 304
[BBA 4 - M6] Rooms Inventory and Control Management,03.06.2020,10:15,03.06.2020,12:00,J. Del Sol J. Van der Blom BBA 4 - M6,[NW2.2]
[BBA 4 - M6] Lunch,03.06.2020,12:05,03.06.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Economics,03.06.2020,13:00,03.06.2020,13:50,F. Avila BBA 4 - M6,[212]
[BBA 4 - M6] Foreign Languages - Group 4,04.06.2020,10:15,04.06.2020,11:05,A. Andrioli B. Crettol S. Dunn D. Fuchs N. McMath BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 205 EW 1 409 307
[BBA 4 - M6] Foreign Languages - Group 3,04.06.2020,11:10,04.06.2020,12:55,B. Crettol S. Dunn E. Ebiner N. McMath J. Meehan BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,205 EW 1 304 307 208
[BBA 4 - M6] Lunch,04.06.2020,13:00,04.06.2020,13:50,BBA 4 - M6
[BBA 4 - M6] Leading Teams to Success,04.06.2020,16:00,04.06.2020,17:45,A. Gamberoni BBA 4 - M6,[206]
[BBA 4 - M6] Hospitality Facilities Management,05.06.2020,08:10,05.06.2020,09:55,M. Aston BBA 4 - M6,[207]
[BBA 4 - M6] Foreign Languages - Group 1,05.06.2020,10:15,05.06.2020,12:00,A. Andrioli E. Crettenand S. Dunn E. Ebiner D. Fuchs BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 EW 1 304 409
[BBA 4 - M6] Lunch,05.06.2020,12:05,05.06.2020,12:55,BBA 4 - M6
[BBA 4 - M6] Foreign Languages - Group 2,05.06.2020,13:00,05.06.2020,14:45,A. Andrioli E. Crettenand B. Crettol S. Dunn E. Ebiner BBA 3 - K1 BBA 3 - K2 BBA 4 - M1 BBA 4 - M2 BBA 4 - M3 BBA 4 - M4 BBA 4 - M5 BBA 4 - M6,207 EW 2 205 EW 1 304
