Subject,Start Date,Start Time,End Date,End Time,Description,Location,,
[BBA 7 - G2 Marketing] Lunch,26.03.2020,11:10,26.03.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,26.03.2020,13:00,26.03.2020,14:45,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] Marketing 4.0,27.03.2020,08:10,27.03.2020,09:00,BBA 7 - G2 Marketing J. Di Donna,[NW1.2]
[BBA 7 - G2 Marketing] Lunch,27.03.2020,11:10,27.03.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),30.03.2020,09:05,30.03.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G2 Marketing] Lunch,30.03.2020,12:05,30.03.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,30.03.2020,13:00,30.03.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.1]
[BBA 7 - G2 Marketing] Hospitality Electives (5209),30.03.2020,14:50,30.03.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),31.03.2020,09:05,31.03.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G2 Marketing] Lunch,31.03.2020,12:05,31.03.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,31.03.2020,13:00,31.03.2020,13:50,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] General Education,01.04.2020,08:10,01.04.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G2 Marketing] Marketing 4.0,01.04.2020,11:10,01.04.2020,12:55,BBA 7 - G2 Marketing J. Di Donna,[NW1.1]
[BBA 7 - G2 Marketing] Lunch,01.04.2020,13:00,01.04.2020,13:50,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,01.04.2020,13:55,01.04.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.2]
[BBA 7 - G2 Marketing] General Education,02.04.2020,08:10,02.04.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G2 Marketing] Lunch,02.04.2020,11:10,02.04.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,02.04.2020,13:00,02.04.2020,14:45,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] Marketing 4.0,03.04.2020,08:10,03.04.2020,09:00,BBA 7 - G2 Marketing J. Di Donna,[NW1.2]
[BBA 7 - G2 Marketing] Lunch,03.04.2020,11:10,03.04.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),06.04.2020,09:05,06.04.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G2 Marketing] Lunch,06.04.2020,12:05,06.04.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,06.04.2020,13:00,06.04.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.1]
[BBA 7 - G2 Marketing] Hospitality Electives (5209),06.04.2020,14:50,06.04.2020,17:45,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,EW 3
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),07.04.2020,09:05,07.04.2020,12:00,B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,LT 2
[BBA 7 - G2 Marketing] Lunch,07.04.2020,12:05,07.04.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,07.04.2020,13:00,07.04.2020,13:50,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] General Education,08.04.2020,08:10,08.04.2020,11:05,A. Gamberoni R. Germanier M. Ninan E. Wong BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar NW 1.2 NW 2.1 NW 3.1
[BBA 7 - G2 Marketing] Marketing 4.0,08.04.2020,11:10,08.04.2020,12:55,BBA 7 - G2 Marketing J. Di Donna,[NW1.1]
[BBA 7 - G2 Marketing] Lunch,08.04.2020,13:00,08.04.2020,13:50,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,08.04.2020,13:55,08.04.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.2]
[BBA 7 - G2 Marketing] General Education,09.04.2020,08:10,09.04.2020,11:05,A. Gamberoni BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,Shelter Bar
[BBA 7 - G2 Marketing] Lunch,09.04.2020,11:10,09.04.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Innovative Sales Strategies,09.04.2020,13:00,09.04.2020,14:45,BBA 7 - G2 Marketing E. Rachny,[EW3]
[BBA 7 - G2 Marketing] Marketing 4.0,10.04.2020,08:10,10.04.2020,09:00,BBA 7 - G2 Marketing J. Di Donna,[NW1.2]
[BBA 7 - G2 Marketing] Digital Marketing and Media Engagement,10.04.2020,09:05,10.04.2020,11:05,BBA 7 - G2 Marketing S. Dahl,[213]
[BBA 7 - G2 Marketing] Lunch,10.04.2020,11:10,10.04.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Hospitality Electives (5208 & 5210),20.04.2020,09:05,20.04.2020,12:00,G. Qumsieh B. Hassan BBA 7 - G1 Finance Group 1 BBA 7 - G1 Finance Group 2 BBA 7 - G2 Marketing BBA 7 - G3 Entrepreneurship BBA 7 - G4 Entrepreneurship,NW 2.2 EW 3
[BBA 7 - G2 Marketing] Lunch,20.04.2020,12:05,20.04.2020,12:55,BBA 7 - G2 Marketing
[BBA 7 - G2 Marketing] Brand Management,20.04.2020,13:00,20.04.2020,14:45,BBA 7 - G2 Marketing A. Schirinzi,[NW1.1]
